line_num,text,issue,corrected_text
535,We know that the ever-smiling Joe Brown is paying a lot of attention to his shop.,no significant OCR errors detected,We know that the ever-smiling Joe Brown is paying a lot of attention to his shop.
537,"The expedition doctor, (Jraenie Xicol, has married and is doing very well in medicine.",possible OCR: severe character corruption in personal name,"The expedition doctor, Graeme Nicol, has married and is doing very well in medicine."
541,Entities: [Slavomir Honieli|PERSON],possible OCR: personal name normalization uncertainty,Sławomir Honiełło
543,"Ch. \ oitsik and P. Haudish, with experience ot climbs in the Alps and the Caucasus.",possible OCR: severe character corruption in surnames and incorrect spacing,"Ch. Voitsik and P. Baudish, with experience of climbs in the Alps and the Caucasus."
580,"It was 24 July, a day of remembrance for Wilfrid Noyce and Robin Smith (.",possible OCR: truncated punctuation fragment,"It was 24 July, a day of remembrance for Wilfrid Noyce and Robin Smith."
601,Oh //ic tiiihth day to get him down.,possible OCR: severe character corruption and letter substitution,On the eighth day to get him down.
621,"Here also the traces ot tailing stones could be seen, but there was no stonetall at night, and we fell asleep peacefully after a strenuous day.",possible OCR: character substitution and incorrect word splitting,"Here also the traces of falling stones could be seen, but there was no stonefall at night, and we fell asleep peacefully after a strenuous day."
628,"The front of one ot \ alva I vanov 's crampons tell otf, and down the slope it went.e went on together, relying on good technique.","possible OCR: multiple character substitutions, corrupted apostrophe spacing, and missing sentence boundary","The front of one of Valva Ivanov’s crampons fell off, and down the slope it went. We went on together, relying on good technique."
658,Visibility was nil.,no significant OCR errors detected,Visibility was nil.
686,The early start and the tension ot these days was telling on us.,possible OCR: character substitution,The early start and the tension of these days was telling on us.
695,Slava (ilukhov took the lead.,possible OCR: severe character corruption in personal name,Slava Glukhov took the lead.
722,"They had climbed from the north, trom the \ alter glacier.",possible OCR: character substitution and spacing corruption in glacier name,"They had climbed from the north, from the Walter Glacier."
726,"K. M\ slo\ sk\, A.i:hinniko\ and \.",possible OCR: severe character corruption and truncation in personal names,"K. Myslovsky, A. Ekhinnikov and V."
740,We took the usual still and ciné shots.,possible OCR: accent/character normalization issue,We took the usual still and cine shots.
741,"There were no changes here, there was still the sparkle ot tl e scattered iron deposits in the shale.",possible OCR: character substitution and spacing corruption,"There were no changes here, there was still the sparkle of the scattered iron deposits in the shale."
743,"ot the Pamir giants around us.e shared impressions ot endless human possibilities in every sphere of activity, science, sport, or mountaineering.",possible OCR: missing sentence boundary and character substitution,"of the Pamir giants around us. We shared impressions of endless human possibilities in every sphere of activity — science, sport, or mountaineering."
754,"V. (jlukliov, V. Ivanov, K. Myslovsky, A. Ovchinnikov (leader).",possible OCR: character substitution in surname,"V. Glukhov, V. Ivanov, K. Myslovsky, A. Ovchinnikov (leader)."
762,35 All stones we learn as children are dead inanimate things hut stones falling on mountains are alive with a death that sings A stone 's song is enchanting and tit for the mountain kings the pitch is high then it 's low yet always of a death it sings This song is lacrimoso carried screeching trom the strings in fiery voice playing so alive with the death that sings If you have heard the stones fall tried crouching ' neath shelter wings you 'll know the tune and lyrics and the song of a death it sings To stand exposed with front points on ice with arrow or slings in the line of a Spider is to learn of the death that sings Of all songs in the mountains from calm to storm peeling rings the one to dread is stonefall for always of a death it sings.,"possible OCR: extensive punctuation loss, spacing corruption, apostrophe spacing issues, and several likely word-form errors","35. All stones we learn as children are dead, inanimate things, but stones falling on mountains are alive with a death that sings. A stone’s song is enchanting and fit for the mountain kings; the pitch is high, then it’s low, yet always of a death it sings. This song is lacrimoso, carried screeching from the strings in fiery voice, playing so alive with the death that sings. If you have heard the stones fall, tried crouching 'neath sheltering wings, you'll know the tune and lyrics and the song of a death it sings. To stand exposed with front points on ice, with arrow or slings in the line of a Spider, is to learn of the death that sings. Of all songs in the mountains, from calm to storm-peeling rings, the one to dread is stonefall, for always of a death it sings."
772,"Here we joined a group of five Polish climbers led by Richard Zawardski, a very accomplished alpinist, who has not only a number of first ascents in the Mont Blanc range to his credit but also took part in the second ascent of the North face of the Grand Pilier d' Angle.",possible OCR: character substitution and inconsistent capitalization,"Here we joined a group of five Polish climbers led by Richard Zawadzki, a very accomplished alpinist, who has not only a number of first ascents in the Mont Blanc range to his credit but also took part in the second ascent of the north face of the Grand Pilier d’Angle."
784,"However, we were soon disillusioned when we found the pitch to be a good VI and very time-consuming.",no significant OCR errors detected,"However, we were soon disillusioned when we found the pitch to be a good VI and very time-consuming."
800,"Ron, however, pointed out that we still had a long way to go.",no significant OCR errors detected,"Ron, however, pointed out that we still had a long way to go."
827,"A visit to the Ishinca valley, Cordillera Bianca, 1968",possible OCR: character substitution in place name,"A visit to the Ishinca Valley, Cordillera Blanca, 1968"
828,Walter Amstutz iTi.iM-l.ili.in: I '.,possible OCR: severe character corruption and truncation,Walter Amstutz
830,\ 1 I.,possible OCR: severe character corruption and punctuation loss,Vol. VI.
832,point tor our \ isit to the I slum a \.,possible OCR: severe character corruption and spacing fragmentation,point for our visit to the Ishinca Valley.
833,ille\.,possible OCR: severe truncation and character corruption,valley.
834,"east of I In- Rio S.mto, u as \lontere\, 20 km north of I luar.is (;o, m |..1 pleasant, well-equipped mountain hotel exeellentk man.mid lu a (ierman muplr.",possible OCR: severe character corruption in place names and spacing fragmentation,"east of the Río Santa, was Monterrey, 20 km north of Huaraz; in pleasant, well-equipped mountain hotel excellently managed by a German couple."
836,"mil It.in klemm, anil luiilt around.",possible OCR: severe character corruption in personal name and conjunctions,"with Hans Klenk, and built around."
838,", From this point we lr.i\ elled lu pickup with tiirei-port its anil hifuatzi-, alont ' tin- worst mail m m\ r\pi-ni-nii-, to (ollon (y\zo m) «","possible OCR: severe character corruption, spacing fragmentation, and place-name distortion","From this point we travelled by pickup with three porters and baggage, along the worst road in my experience, to Colón (3250 m)."
841,I he asient led tust ot all past small settlements surrounded lu eueakptus trees anil planted pri nil pallit h potatoes and corn.,"possible OCR: severe character corruption, spacing fragmentation, and word substitution",The ascent led first of all past small settlements surrounded by eucalyptus trees and planted principally with potatoes and corn.
842,"Harle\ thn\ es up to heights of 4000 m. (Juenua (l' ol\ lepis), a sort ot small oak.",possible OCR: severe character corruption in botanical names and descriptive wording,"Hardy shrubs up to heights of 4000 m. Queñua (Polylepis), a sort of small oak."
845,A VISIT TO Till-!,possible OCR: severe truncation in heading/title,A Visit to the—
847,i Ranraptiliti;,possible OCR: severe character corruption in mountain name,Ranrapalca
849,ISIIINCA VAI.,possible OCR: severe truncation and character substitution,Ishinca Valley
851,We set up our first tented camp on the evening of 23 June at a height of 4190 m and also made a further camp on the south side of the Isliinca valley at 4900 m where the pack animals left us and returned to the valley.,possible OCR: character substitution in place name and missing punctuation,"We set up our first tented camp on the evening of 23 June at a height of 4190 m and also made a further camp on the south side of the Ishinca Valley at 4900 m, where the pack animals left us and returned to the valley."
852,"Our first objective was the Nevado Isliinca, 5530 m, tor acclimatisation purposes.",possible OCR: character substitution in place name and word spacing corruption,"Our first objective was Nevado Ishinca, 5530 m, for acclimatisation purposes."
867,"We finally reached what both parties thought was an acceptable compromise, though this eventually proved to be an illusion.",no significant OCR errors detected,"We finally reached what both parties thought was an acceptable compromise, though this eventually proved to be an illusion."
876,"We had, it is true, brought wooden pegs and aluminium stakes with us, for abseiling, but complicated manoeuvres with the rope are often time-consuming even at low altitudes, especially for a party of five.",no significant OCR errors detected,"We had, it is true, brought wooden pegs and aluminium stakes with us for abseiling, but complicated manoeuvres with the rope are often time-consuming even at low altitudes, especially for a party of five."
878,"on the lower part of the face, fortunately after the abseiling was over.",no significant OCR errors detected,"on the lower part of the face, fortunately after the abseiling was over."
880,Fritz Luchsinger 's lead off the mountain was a master-4 A VISIT TO Till- 1 NCA VA1.,"possible OCR: truncated word, corrupted heading text, and severe spacing/character corruption",Fritz Luchsinger’s lead off the mountain was masterly. 4. A Visit to the Ishinca Valley
885,"2i Xci 'd ' luiHuritju,,from \c\ado Ishinca, lookiiiu; noil",possible OCR: severe character corruption in mountain names and directional wording,"28. Nevado Ranrapalca, from Nevado Ishinca, looking north"
886,"I. KY, (' OKI)I I.I \-M.\ HI.",possible OCR: severe character corruption and punctuation fragmentation,"Peru, Cordillera Blanca."
888,"Encompassed by the deceptive darkness, he led us through the maze with the traditional invulnerability of the sleep-walker.",possible OCR: incorrect hyphenation,"Encompassed by the deceptive darkness, he led us through the maze with the traditional invulnerability of the sleepwalker."
900,Soon the summit and ourselves were completely enveloped in cloud which often occurs on the watershed of the Cordillera about mid-day.,possible OCR: minor punctuation loss,"Soon the summit and ourselves were completely enveloped in cloud, which often occurs on the watershed of the Cordillera about mid-day."
905,"Our decision was right, for Tocllaraju was still shrouded in thick clouds that evening.",no significant OCR errors detected,"Our decision was right, for Tocllaraju was still shrouded in thick clouds that evening."
916,"The smallest ascent in the Cordillera Bianca requires preparation, for both climate and topography present problems of transport and supply, although they are nothing as great as those in many other overseas mountain areas.",possible OCR: character substitution in place name,"The smallest ascent in the Cordillera Blanca requires preparation, for both climate and topography present problems of transport and supply, although they are nothing as great as those in many other overseas mountain areas."
917,"The highest mountain in Peru, Huascaran, is 6768 m, which is not as high as the Himalayan giants, although the Cordillera Bianca is one of the greatest continuous mountain chains in the world.",possible OCR: character substitution in place name and missing accent,"The highest mountain in Peru, Huascarán, is 6768 m, which is not as high as the Himalayan giants, although the Cordillera Blanca is one of the greatest continuous mountain chains in the world."
918,"Situated as it is on the equator, the days and nights are the same length and twilight is very short.",no significant OCR errors detected,"Situated as it is on the equator, the days and nights are the same length and twilight is very short."
925,"It would be very attractive to attempt one of the many unknown and still unclimbed 5000 m peaks, or one of the twenty-nine 6000 m peaks ot Peru, some of which are still unconquered.",possible OCR: character substitution,"It would be very attractive to attempt one of the many unknown and still unclimbed 5000 m peaks, or one of the twenty-nine 6000 m peaks of Peru, some of which are still unconquered."
929,We learned on Kilimanjaro and Mount Kenya that the use of ski sticks up to a height of 5000 m or over can be of great assistance while ascending or descending.,no significant OCR errors detected,We learned on Kilimanjaro and Mount Kenya that the use of ski sticks up to a height of 5000 m or over can be of great assistance while ascending or descending.
931,"The porters are prepared to carry large loads, in general they are decent and willing men, except when they are under the influence of a local ' shop steward '.",possible OCR: minor punctuation degradation and inconsistent quotation spacing,"The porters are prepared to carry large loads; in general they are decent and willing men, except when they are under the influence of a local ‘shop steward’."
937,(unlp ut (.,possible OCR: severe truncation and character corruption,camp of...
941,ibothe camp ((iwrhips with lctt suk-,"possible OCR: severe character corruption, broken word segmentation, and incomplete truncation",both camps (workshops) with left side—
943,A journey to the Cordillera Bianca is a high spot in any climber 's lite.,possible OCR: character substitution in place name and word corruption,A journey to the Cordillera Blanca is a high spot in any climber’s life.
947,In tact it 's enough to give you the willies!,possible OCR: character substitution and spacing error,In fact it’s enough to give you the willies!
948,"Simmaky - Peruvian Andes, Cordillera Bianca, Ishinca valley.",possible OCR: character corruption in name and place name,"Simmaky — Peruvian Andes, Cordillera Blanca, Ishinca Valley."
956,Entities: [A. Zimmerli|PERSON],"no evident OCR corruption evident, only normalization applied",A. Zimmerli
971,"among them the Yiennese climbers (iiiido Lammer and Alfred Horeschowsky, who undertook ice routes which were extremely difficult tor the tinvj.","possible OCR: severe character corruption in nationality, names, and word fragmentation","Among them the Viennese climbers Guido Lammer and Alfred Horeschowsky, who undertook ice routes which were extremely difficult for the time."
975,"Technique and equipment developed further, making easier what had until then been considered the most difficult undertakings and, at the same time, bringing into the field of possibility others which had previously been thought out of the question.",no significant OCR errors detected,"Technique and equipment developed further, making easier what had until then been considered the most difficult undertakings and, at the same time, bringing into the field of possibility others which had previously been thought out of the question."
998,"lp till then, climbing even extreme climbing had been mainly restricted to those who could afford the ' Sport '.","possible OCR: severe character substitution, spacing corruption, and punctuation errors","Up till then, climbing—even extreme climbing—had been mainly restricted to those who could afford the ‘sport’."
1002,"Leo Rittler, for example, came from a very poor background, but he still managed to spend all his tree time in the mountains.",possible OCR: character substitution,"Leo Rittler, for example, came from a very poor background, but he still managed to spend all his free time in the mountains."
1010,"' Karl Hrendl, a man with a touch of bravado, succeeded in climbing the South ridge of the Aiguille Noire, which had already been fruitlessly attempted by Welzenbach.",possible OCR: inconsistent capitalization,"Karl Hrendl, a man with a touch of bravado, succeeded in climbing the south ridge of the Aiguille Noire, which had already been fruitlessly attempted by Welzenbach."
1021,"At the same time, m 193 1, I too came into contact w it 11 ice for the first time, with the Traunstein climber, Ciiistl Kröner, on the Grandes Jorasses.","possible OCR: severe spacing corruption, character substitution, and numeric misread","At the same time, in 1931, I too came into contact with ice for the first time, with the Traunstein climber, Christl Kröner, on the Grandes Jorasses."
1027,30 The iiiillini: .,possible OCR: severe character corruption and truncated heading,30. The Himalaya
1032,"Fortunately, as a result of a rapid change in the weather, we were turned away whilst still on the lower stages of the climb.",no significant OCR errors detected,"Fortunately, as a result of a rapid change in the weather, we were turned away whilst still on the lower stages of the climb."
1034,Two years later (iustl Kröner was killed by a stonefall on the North face of the Matterhorn.,possible OCR: character substitution and missing punctuation,Two years later Christl Kröner was killed by a stonefall on the north face of the Matterhorn.
1047,"It was called the Bergwaclii and owes its beginning to Ludwig Cramminger from Munich, himself a top-flight mountaineer and still active today.",possible OCR: character substitution and word corruption,"It was called the Bergwacht and owes its beginning to Ludwig Gramminger from Munich, himself a top-flight mountaineer and still active today."
1059,"-1,7i- MAIN (JKKMAN AM) Al'STKIAN Cl.",possible OCR: severe character corruption in heading and punctuation,Main German and Austrian Club
